URL,Station de service,Ville,Adresse,Coordinates,Energies,Lavage,Paiement,Produits & Services,Services,Club TotalEnergies,Truck,H2 Conversion
https://store.totalenergies.fr/fr_FR/NF078076,RELAIS JONELIERE,LA CHAPELLE SUR ERDRE,"BD ALEXANDRE FLEMING PERIPH INTEUR  , 44240 LA CHAPELLE SUR ERDRE, FRANCE","47.2567706,-1.543125","Super Ethanol e85, AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, GPL, SP95 e10, ",,"Eurotrafic, Carte Club TotalEnergies, MOL, DKV, UTA, Mobility de TotalEnergies, American Express, Mastercard, Visa, Carte Jubileo, Aral, Routex, ","AdBlue Truck, ","Wifi, Café, Boutique, Justbip, Gonflage, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF022984,RELAIS DU CANTELOUP,BEYCHAC ET CAILLAU,"RN 89  , 33750 BEYCHAC ET CAILLAU, FRANCE","44.8792217,-0.3751189","AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, Super Ethanol e85, SP95 e10, ","Aspirateur, Lavage à Rouleaux, ","Routex, American Express, Mastercard, Mobility de TotalEnergies, MOL, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, DKV, Eurotrafic, Aral, ","AdBlue Truck, ","Toilettes, Justbip, Lavage à Rouleaux, Café, Wifi, Gonflage, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF079334,RELAIS NIORT CHAURAY,CHAURAY,"659, RTE DE PARI  , 79180 CHAURAY, FRANCE","46.3403871,-0.3950027","GNR, Excellium 98, Diesel, Super Ethanol e85, SP95 e10, GPL, Excellium Diesel, AdBlue Truck, ","Lavage à Rouleaux, Aspirateur, ","Aral, Routex, Mobility de TotalEnergies, MOL, DKV, Mastercard, UTA, Visa, Carte Jubileo, Carte Wash, American Express, Eurotrafic, Carte Club TotalEnergies, ","AdBlue Truck, ","Lavage à Rouleaux, Café, Justbip, Gonflage, Wifi, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF011311,RELAIS DU CANNET,LE CANNET DES MAURES,"QUARTIER LES TAURELLES - RN7  , 83340 LE CANNET DES MAURES, FRANCE","43.39324,6.331231","Excellium 98, Excellium Diesel, Diesel, Super Ethanol e85, SP95 e10, GNR, ","Aspirateur, Lavage à Rouleaux, ","Routex, Aral, Mobility de TotalEnergies, DKV, MOL, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, American Express, Mastercard, Carte Wash, UTA, ",,"Justbip, Lavage à Rouleaux, Café, Gonflage, Wifi, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, Truck store, ",1
https://store.totalenergies.fr/fr_FR/NF078544,REL.BEUZEVILLE NORD,BEUZEVILLE,"A13 - AIRE DE BEUZEVILLE  , 27210 BEUZEVILLE, FRANCE","49.3205625,0.319564","Borne AC43/DC50 kW, Excellium 98, Excellium Diesel, Diesel, GPL, SP95 e10, Super Ethanol e85, ",,"American Express, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, DKV, Mastercard, Eurotrafic, Aral, MOL, Mobility de TotalEnergies, Routex, ",,"Défibrillateur, Espace Pro, Café, Autoroutière, Toilettes, Gonflage, Click & Collect Lyf, AdBlue bidon, Wifi, Justbip, ","Assistance Club 30 Jours, Club Truck, Jauge Cadeau, Adhésion station, Carte Club acceptée, Club Bus, Cagnotte TotalEnergies, ","Pompes PL, Truck, Parking PL, Truck store, Brosse Pare-Brise PL, ",1
https://store.totalenergies.fr/fr_FR/NF078613,RELAIS DES IRIS,LE PLESSIS BELLEVILLE,"5 ROUTE DE PARIS  , 60330 LE PLESSIS BELLEVILLE, FRANCE","49.0970431,2.7501665","Excellium Diesel, Diesel, SP95 e10, GNR, Excellium 98, Super Ethanol e85, GPL, AdBlue Truck, ","Lavage Haute Pression, Aspirateur, Lavage à Rouleaux, ","Mastercard, Carte Club TotalEnergies, American Express, Eurotrafic, Visa, Carte Jubileo, Routex, Mobility de TotalEnergies, DKV, UTA, MOL, Carte Wash, Aral, ","AdBlue Truck, ","Lavage à Rouleaux, Café, Justbip, Gonflage, Wifi, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, Brosse Pare-Brise PL, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF059953,RELAIS DU BAS MARIN,ORLY,"106 AVENUE DE LA VICTOIRE  , 94310 ORLY, FRANCE","48.745943,2.3831304","GPL, Excellium 98, Excellium Diesel, Diesel, SP95 e10, GNR, ","Lavage à Rouleaux, Lavage Haute Pression, Aspirateur, ","DKV, UTA, MOL, Carte Wash, American Express, Mastercard, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, Aral, Routex, Mobility de TotalEnergies, ",,"Lavage à Rouleaux, Café, Justbip, Wifi, AdBlue bidon, Gonflage, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, Brosse Pare-Brise PL, Truck store, ",1
https://store.totalenergies.fr/fr_FR/NF080079,CATALOGNE CARBURANTS SUD PL,PERPIGNAN,"3170 AVENUE JULIEN PANCHOT  , 66000 PERPIGNAN, FRANCE","42.6788095,2.8518859","Diesel, GNR, AdBlue Truck, ",,"Mastercard, Carte Club TotalEnergies, MOL, American Express, DKV, Eurotrafic, Visa, Carte Jubileo, Aral, Routex, Mobility de TotalEnergies, ","AdBlue Truck, ","Wifi, AdBlue bidon, ",,"Pompes PL, Truck, Brosse Pare-Brise PL, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF040234,SAS AZURESSENCE,NOVES,"RN 7 QUARTIER LE RABET.  , 13550 NOVES, FRANCE","43.8555356,4.9213648","Excellium Diesel, Diesel, SP95 e10, GNR, Excellium 98, AdBlue Truck, Super Ethanol e85, ",,"American Express, Carte Jubileo, Visa, Carte Club TotalEnergies, Mastercard, Eurotrafic, MOL, Aral, Routex, Mobility de TotalEnergies, DKV, UTA, ","AdBlue Truck, ","Baie de maintenance, Boutique, Wifi, AdBlue bidon, Toilettes, ","Assistance Club 30 Jours, Jauge Cadeau, Carte Club acceptée, Cagnotte TotalEnergies, Adhésion station, Club Truck, ","Pompes PL, Truck, Brosse Pare-Brise PL, Borne Gonflage PL, Parking PL, ",0
https://store.totalenergies.fr/fr_FR/NF062022,RELAIS DAMMARIE LECLERC,DAMMARIE LES LYS,"936 AVENUE DU GENERAL LECLERC  , 77190 DAMMARIE LES LYS, FRANCE","48.51885069999999,2.654364","SP95 e10, AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, ","Aspirateur, Lavage à Rouleaux, ","Routex, UTA, DKV, MOL, Mobility de TotalEnergies, American Express, Mastercard, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, Aral, ","AdBlue Truck, ","Gonflage, Café, Amazon Locker, Lavage à Rouleaux, Justbip, Wifi, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Carte Club acceptée, Adhésion station, ","Pompes PL, Truck, ",0
